name,rating,priceLevel,numberOfReviews,address,rest_lat,rest_long,nearest_station_id,nearest_station_name,distance_to_station_km,distance_band
Hopetoun Tea Rooms est. 1892,4.5,$$ - $$$,2311,"421 Bourke St Hopetoun Tea Rooms, Melbourne, Victoria 3000 Australia",-37.814921013925,144.961636003555,19842,Melbourne Central,0.56,500–1000 m
Da Guido La Pasta,4.5,$$ - $$$,1095,"130 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.804031496776,144.966627259258,19842,Melbourne Central,0.746,500–1000 m
Foglia di Fico,5,$$ - $$$,202,"585 La Trobe St (Spencer St entrance), Melbourne, Victoria 3000 Australia",-37.813278077083,144.951826829906,19841,Flagstaff,0.366,250–500 m
Pidapipo Gelateria,4.5,$,433,"299 Lygon St, Carlton, Melbourne, Victoria 3053 Australia",-37.798379621375,144.967066219527,19842,Melbourne Central,1.344,>1000 m
Kazuki's,4.5,$$$$,500,"121 Lygon St Carlton, Melbourne, Victoria 3053 Australia",-37.804156973867,144.966067348125,19842,Melbourne Central,0.712,500–1000 m
Hochi Mama,4.5,$$ - $$$,1469,"35 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.81075231629,144.971736196881,19843,Parliament,0.109,<=250 m
Sezar,4.5,$$ - $$$,1024,"6 Melbourne Pl, Melbourne, Victoria 3000 Australia",-37.813511932182,144.969085671459,19843,Parliament,0.433,250–500 m
The French Brasserie,4.5,$$$$,721,"2 Malthouse Lane, Melbourne, Victoria 3000 Australia",-37.815421958368,144.971824290683,19843,Parliament,0.495,250–500 m
The Railway Club Hotel Steakhouse,4.5,$$ - $$$,680,"107 Raglan St Port Melbourne, Melbourne, Victoria 3207 Australia",-37.833805986603,144.944299964674,22180,Southern Cross,1.872,>1000 m
Bistrot d'Orsay,4.5,$$ - $$$,497,"184 Collins St, Melbourne, Victoria 3000 Australia",-37.815038570117,144.967359083224,19854,Flinders Street,0.365,250–500 m
Da Guido 365,4.5,$$ - $$$,524,"365 Little Collins St, Melbourne, Victoria 3000 Australia",-37.815629787657,144.962729841919,19854,Flinders Street,0.476,250–500 m
Roule Galette Melbourne,4.5,$,604,"241 Flinders Lane Shop 1, Melbourne, Victoria 3000 Australia",-37.816794997927,144.966265747774,19854,Flinders Street,0.179,<=250 m
Eau De Vie,4.5,$$ - $$$,814,"1 Malthouse Lane, Melbourne, Victoria 3000 Australia",-37.815613736313,144.971554309582,19854,Flinders Street,0.502,500–1000 m
Tipo 00,4.5,$$ - $$$,823,"361 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.8135943682,144.961982343794,19842,Melbourne Central,0.41,250–500 m
Ruyi Modern Chinese,4.5,$$ - $$$,377,"16 Liverpool St, Melbourne, Victoria 3000 Australia",-37.811106284061,144.971469903817,19843,Parliament,0.127,<=250 m
David's Master Pot (Elizabeth St - CBD),5,$$ - $$$,140,"462 Elizabeth St, Melbourne, Victoria 3000 Australia",-37.80787392883,144.960512996167,19842,Melbourne Central,0.293,250–500 m
Longrain,4.5,$$ - $$$,1172,"44 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.810647500591,144.971209645724,19843,Parliament,0.156,<=250 m
Straight Outta Saigon,4.5,$$ - $$$,337,"138 Russell Street Ground level, Melbourne, Victoria 3000 Australia",-37.812947830098,144.968404641826,19843,Parliament,0.448,250–500 m
Patricia Coffee Brewers,4.5,$,212,"493-495 Little Bourke St, Melbourne, Victoria 3000 Australia",-37.814691433597,144.958235381617,19841,Flagstaff,0.377,250–500 m
Coda,4.5,$$$$,1150,"141 Flinders Lane, Melbourne, Victoria 3000 Australia",-37.815757611681,144.969861165141,19854,Flinders Street,0.381,250–500 m
Bowery to Williamsburg,4.5,$$ - $$$,322,"16 Oliver Lane, Melbourne, Victoria 3000 Australia",-37.8161584762,144.970261736293,19854,Flinders Street,0.375,250–500 m
Rare Steakhouse Midtown,4.5,$$ - $$$,344,"12 Goldie Pl, Melbourne, Victoria 3000 Australia",-37.813392783428,144.960781636164,19842,Melbourne Central,0.416,250–500 m
Seven Seeds,4.5,$$ - $$$,381,"114 Berkley Street Carlton, Melbourne, Victoria Australia",-37.802892396135,144.959128305763,19842,Melbourne Central,0.841,500–1000 m
Betty’s Burgers & Concrete Co,4.5,$,1215,"97 Elizabeth St, Melbourne, Victoria 3000 Australia",-37.815917035479,144.963640954794,19854,Flinders Street,0.395,250–500 m
seamstress,4.5,$$ - $$$,501,"113 Lonsdale St, Melbourne, Victoria 3000 Australia",-37.810542014339,144.96899296761,19843,Parliament,0.349,250–500 m
Laksa King,4.5,$,557,"6-12 Pin Oak Cres Flemington, Melbourne, Victoria 3031 Australia",-37.787885143323,144.929551838399,20040,Newmarket,0.08,<=250 m
Sud Food and Wine,4.5,$$ - $$$,230,"219 King St, Melbourne, Victoria 3000 Australia",-37.815137686122,144.95487197533,19841,Flagstaff,0.358,250–500 m
11 Inch Pizza,4.5,$,324,"Shop 7A 353 Little Collins St, Melbourne, Victoria 3000 Australia",-37.815566127103,144.962963026465,19854,Flinders Street,0.465,250–500 m
Operator 25,4.5,$$ - $$$,447,"25 Wills St, Melbourne, Victoria 3000 Australia",-37.810742593282,144.956996955423,19841,Flagstaff,0.181,<=250 m
Koko Black Chocolate,4.5,$$ - $$$,558,"52 Collins St, Melbourne, Victoria 3000 Australia",-37.813710499468,144.971906517154,19843,Parliament,0.308,250–500 m
Auction Rooms,4.5,$$ - $$$,432,"103-107 Errol St, Melbourne, Victoria 3051 Australia",-37.802489771416,144.949439915339,19973,North Melbourne,0.816,500–1000 m
Tonka,4.5,$$$$,817,"20 Duckboard Pl, Melbourne, Victoria 3000 Australia",-37.816047793169,144.971534444472,19854,Flinders Street,0.473,250–500 m
Il Solito Posto,4.5,$$ - $$$,989,"113 Collins St via George Parade, Melbourne, Victoria 3000 Australia",-37.81463229927,144.970230052699,19843,Parliament,0.462,250–500 m
Geppetto Trattoria,4.5,$$ - $$$,439,"78A Wellington Pde, Melbourne, Victoria 3002 Australia",-37.816418985751,144.987415971694,19979,Jolimont,0.292,250–500 m
